name,colcode,textcode
Albacete,,
Almería,,
Argentina,#41A2D6,#D6B246
Argentina Women's,#41A2D6,#D6B246
Arsenal WFC,#d80919,white
Athletic Bilbao,#ee2523,white
Atlético Madrid,#272e61,white
Australia,#FFBC00,#004044
Australia Women's,#FFBC00,#004044
Barcelona,#a40344,white
Belgium,#E4010B,white
Birmingham City WFC,#4C69A1,white
Brazil,#FDDD00,#123076
Brazil Women's,#FDDD00,#123076
Brighton & Hove Albion WFC,#0a56a3,white
Bristol City WFC,,
Cádiz,,
Cameroon Women's,#459B4F,#EE161F
Canada Women's,#C5281C,white
Celta Vigo,#e5254e,white
Chelsea FCW,#034694,white
Chicago Red Stars,#40B8E7,#D31A2C
Chile Women's,,
China PR Women's,,
Colombia,,
Córdoba,,
Costa Rica,,
Croatia,,
Denmark,,
Deportivo Alavés,#009ad7,white
Deportivo La Coruna,#57175e,white
Egypt,,
Eibar,#aa093c,white
Elche,,
England,,
England Women's,,
Espanyol,,
Everton LFC,#063a99,white
France,,
France Women's,,
Germany,,
Germany Women's,,
Getafe,#005999,yellow
Gimnàstic Tarragona,,
Girona,,
Granada,#a61b2b,white
Hércules,,
Houston Dash,#8EB7E2,#F46C1C
Iceland,,
Iran,,
Italy Women's,,
Jamaica Women's,,
Japan,,
Japan Women's,,
Korea Republic Women's,,
Las Palmas,,
Leganés,#0c1f6e,white
Levante,#a40344,white
Liverpool WFC,#e0202c,#fef667
Málaga,,
Mallorca,#e20613,white
Manchester City WFC,#99c5e7,#022a5d
Manchester United,#dc1f29,#fae935
Mexico,,
Morocco,,
Netherlands Women's,,
New Zealand Women's,,
Nigeria,,
Nigeria Women's,,
North Carolina Courage,#02406A,#B8A469
Norway Women's,,
Numancia,,
Orlando Pride,#633095,white
Osasuna,#d91a21,white
Panama,,
Peru,,
Poland,,
Portland Thorns,#981719,white
Portugal,,
Racing Santander,,
Rayo Vallecano,,
Reading WFC,,
Real Betis,#0bb363,white
Real Madrid,#febe10,#00529f
Real Murcia,,
Real Sociedad,#0067b1,black
Real Valladolid,,
Real Zaragoza,,
Recreativo Huelva,,
Russia,,
Saudi Arabia,,
Scotland Women's,,
Seattle Reign,#F8FDFD,#003393
Senegal,,
Serbia,,
Sevilla,#f43333,white
Sky Blue FC,#153569,#FF852A
South Africa Women's,,
South Korea,,
Spain,,
Spain Women's,,
Sporting Gijón,,
Sweden,,
Sweden Women's,,
Switzerland,,
Tenerife,,
Thailand Women's,,
Tottenham Hotspur Women,#11214b,white
Tunisia,,
United States Women's,,
Uruguay,,
Utah Royals,,
Valencia,#0097d7,white
Villarreal,#ffe667,black
Washington Spirit,#C4142E,white
West Ham United LFC,#7a263a,#f3d459
Xerez,,
Yeovil Town LFC,,
